ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Mikkel Kirkeskov,Piast Gliwice,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Stojan Vranjes,Piast Gliwice,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
David Niepsuj,Pogoń Szczecin,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Basta,Sandecja,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Adrian Danek,Sandecja,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Jakub Grić,Sandecja,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Dragoljub Srnić,Śląsk Wrocław,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Łukasz Madej,Śląsk Wrocław,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Michał Mak,Śląsk Wrocław,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Patryk Małecki,Wisła Kraków,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Paweł Brożek,Wisła Kraków,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Petar Brlek,Wisła Kraków,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Vullnet Basha,Wisła Kraków,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ze Manuel,Wisła Kraków,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
